,Symbol,Ensembl
3840,Olfr1124,ENSMUSG00000050772
3841,Fthl17b,ENSMUSG00000078208
3842,Olfr1040,ENSMUSG00000075203
3843,Olfr1039,ENSMUSG00000075204
3844,Olfr1037,ENSMUSG00000075205
3845,Olfr1024,ENSMUSG00000075206
3846,Gm44127,ENSMUSG00000107538
3847,Olfr1019,ENSMUSG00000075208
3848,4930563H07Rik,ENSMUSG00000107656
3849,Gm3750,ENSMUSG00000078213
3850,Fthl17d,ENSMUSG00000078206
3851,Gm362,ENSMUSG00000078320
3852,Olfr1129,ENSMUSG00000062272
3853,Gm2933,ENSMUSG00000078324
3854,Olfr141,ENSMUSG00000078420
3855,Olfr1043,ENSMUSG00000075201
3856,Gm10936,ENSMUSG00000078430
3857,Olfr1055,ENSMUSG00000075189
3858,Olfr1383,ENSMUSG00000107417
3859,RP23-476C23.10,ENSMUSG00000107507
3860,Krtap6-5,ENSMUSG00000062400
3861,Olfr26,ENSMUSG00000047667
3862,Olfr419,ENSMUSG00000050788
3863,1700049E17Rik2,ENSMUSG00000072613
3864,Gm11691,ENSMUSG00000075431
3865,Gm43994,ENSMUSG00000107521
3866,Gm17374,ENSMUSG00000078197
3867,Pdha2,ENSMUSG00000047674
3868,Cyp2w1,ENSMUSG00000029541
3869,Tas2r122,ENSMUSG00000078280
3870,Fam47c,ENSMUSG00000078315
3871,Olfr1505,ENSMUSG00000062314
3872,Olfr1042,ENSMUSG00000075202
3873,Gm3706,ENSMUSG00000078218
3874,RP24-328C2.1,ENSMUSG00000108669
3875,Gm13262,ENSMUSG00000075534
3876,Olfr483,ENSMUSG00000078118
3877,Gm14190,ENSMUSG00000078276
3878,Krtap9-5,ENSMUSG00000078255
3879,Olfr1256,ENSMUSG00000075073
3880,Prl2c1,ENSMUSG00000062551
3881,Gm44110,ENSMUSG00000107855
3882,Olfr1229,ENSMUSG00000075095
3883,Olfr1226,ENSMUSG00000075097
3884,Olfr1224-ps1,ENSMUSG00000075099
3885,Olfr1223,ENSMUSG00000075100
3886,Olfr1211,ENSMUSG00000075112
3887,Olfr1222,ENSMUSG00000075101
3888,V1ra8,ENSMUSG00000062546
3889,Gm43904,ENSMUSG00000107849
3890,E330014E10Rik,ENSMUSG00000072813
3891,Olfr1218,ENSMUSG00000075105
3892,Gm10799,ENSMUSG00000075006
3893,Tex28,ENSMUSG00000062564
3894,Olfr1269,ENSMUSG00000075067
3895,Olfr1231,ENSMUSG00000075093
3896,Gm11555,ENSMUSG00000078130
3897,RP24-127M20.8,ENSMUSG00000107872
3898,Gm44004,ENSMUSG00000107847
3899,Olfr791,ENSMUSG00000047626
3900,Krtap1-3,ENSMUSG00000078131
3901,Olfr364-ps1,ENSMUSG00000078198
3902,Gm13103,ENSMUSG00000029451
3903,Gm11939,ENSMUSG00000078132
3904,Olfr866,ENSMUSG00000050803
3905,Gm31747,ENSMUSG00000107441
3906,Olfr199,ENSMUSG00000074996
3907,Olfr1378,ENSMUSG00000050343
3908,9230106D20Rik,ENSMUSG00000042940
3909,4931400O07Rik,ENSMUSG00000031194
3910,Atn1,ENSMUSG00000107478
3911,Olfr1506,ENSMUSG00000075064
3912,Gm44448,ENSMUSG00000107767
3913,Olfr685,ENSMUSG00000047794
3914,Olfr201,ENSMUSG00000074995
3915,Krtap29-1,ENSMUSG00000078254
3916,Gm17332,ENSMUSG00000091195
3917,Olfr597,ENSMUSG00000073952
3918,Olfr710,ENSMUSG00000045581
3919,Tas2r116,ENSMUSG00000030194
3920,1700065L07Rik,ENSMUSG00000107408
3921,Olfr1158,ENSMUSG00000062793
3922,Olfr322,ENSMUSG00000063549
3923,Olfr466,ENSMUSG00000049806
3924,Olfr811,ENSMUSG00000063173
3925,Cpxcr1,ENSMUSG00000072995
3926,RP24-136L4.3,ENSMUSG00000108329
3927,Cxcl15,ENSMUSG00000029375
3928,Oog4,ENSMUSG00000047799
3929,Olfr955,ENSMUSG00000063176
3930,Olfr107,ENSMUSG00000063188
3931,7420426K07Rik,ENSMUSG00000074123
3932,Olfr177,ENSMUSG00000063137
3933,Klk1b1,ENSMUSG00000063133
3934,Olfr125,ENSMUSG00000050613
3935,Olfr1008,ENSMUSG00000050603
3936,Gm10081,ENSMUSG00000062987
3937,Olfr202,ENSMUSG00000048810
3938,Olfr1510,ENSMUSG00000063106
3939,Gm10680,ENSMUSG00000074373
3940,Obox2,ENSMUSG00000074369
3941,Gm44444,ENSMUSG00000108277
3942,Sult2a3,ENSMUSG00000074375
3943,Sult2a4,ENSMUSG00000074377
3944,Klk1b8,ENSMUSG00000063089
3945,Gm15292,ENSMUSG00000074441
3946,4930555O08Rik,ENSMUSG00000085676
3947,Vmn1r59,ENSMUSG00000074401
3948,Vmn1r55,ENSMUSG00000074402
3949,Olfr318,ENSMUSG00000108265
3950,Obox5,ENSMUSG00000074366
3951,Olfr186,ENSMUSG00000047960
3952,Smcp,ENSMUSG00000074435
3953,Serpinb9f,ENSMUSG00000038327
3954,Prr23a2,ENSMUSG00000063058
3955,Defa21,ENSMUSG00000074447
3956,Gm44410,ENSMUSG00000108192
3957,Ceacam12,ENSMUSG00000030366
3958,Art2b,ENSMUSG00000030651
3959,Gm16024,ENSMUSG00000085063
3960,Olfr584,ENSMUSG00000073959
3961,Olfr592,ENSMUSG00000073956
3962,Olfr593,ENSMUSG00000073955
3963,Olfr594,ENSMUSG00000073954
3964,Olfr553,ENSMUSG00000073972
3965,Olfr583,ENSMUSG00000073960
3966,Olfr551,ENSMUSG00000073974
3967,Olfr521,ENSMUSG00000073997
3968,Gm10619,ENSMUSG00000074067
3969,Olfr568,ENSMUSG00000073965
3970,Olfr561,ENSMUSG00000073966
3971,Olfr557,ENSMUSG00000073967
3972,AA792892,ENSMUSG00000073497
3973,Olfr19,ENSMUSG00000048101
3974,Olfr930,ENSMUSG00000063221
3975,Defa5,ENSMUSG00000074439
3976,Olfr582,ENSMUSG00000073961
3977,Olfr576,ENSMUSG00000073962
3978,Ceacam11,ENSMUSG00000030368
3979,Cyp2c68,ENSMUSG00000074882
3980,Gm5615,ENSMUSG00000074448
3981,Zfp813-ps,ENSMUSG00000107979
3982,Defa23,ENSMUSG00000074446
3983,Serpinb13,ENSMUSG00000048775
3984,Defa-rs7,ENSMUSG00000074442
3985,Olfr552,ENSMUSG00000073973
3986,Gm5592,ENSMUSG00000072259
3987,Olfr1093,ENSMUSG00000047969
3988,Tas2r103,ENSMUSG00000030196
3989,Defb19,ENSMUSG00000050645
3990,Gm10750,ENSMUSG00000074739
3991,Gm44028,ENSMUSG00000108062
3992,Esp24,ENSMUSG00000095625
3993,Serpinb3b,ENSMUSG00000073602
3994,Olfr215,ENSMUSG00000050654
3995,Spink11,ENSMUSG00000073573
3996,Olfr194,ENSMUSG00000063020
3997,Gm20670,ENSMUSG00000108620
3998,9230110F15Rik,ENSMUSG00000047980
3999,Gm44160,ENSMUSG00000107985
4000,Olfr1414,ENSMUSG00000042849
4001,Gm10439,ENSMUSG00000072923
4002,BC061212,ENSMUSG00000072822
4003,Sval3,ENSMUSG00000062833
4004,Gm15669,ENSMUSG00000085075
4005,Vmn1r226,ENSMUSG00000042848
4006,1700080O16Rik,ENSMUSG00000031118
4007,Olfr1458,ENSMUSG00000062844
4008,Gm35386,ENSMUSG00000108003
4009,RP23-114E15.17,ENSMUSG00000108011
4010,Spint5,ENSMUSG00000074593
4011,2310061N02Rik,ENSMUSG00000050704
4012,Olfr830,ENSMUSG00000062868
4013,Gm10663,ENSMUSG00000074302
4014,Olfr480,ENSMUSG00000063120
4015,Gm44174,ENSMUSG00000108289
4016,Vmn1r139,ENSMUSG00000074311
4017,Krtap14,ENSMUSG00000074928
4018,Csprs,ENSMUSG00000062783
4019,AA545190,ENSMUSG00000107948
4020,Gm8882,ENSMUSG00000030143
4021,Ces2f,ENSMUSG00000062826
4022,Gm382,ENSMUSG00000062791
4023,RP23-472J11.10,ENSMUSG00000108619
4024,Mcpt4,ENSMUSG00000061068
4025,RP23-338G5.2,ENSMUSG00000108333
4026,Ctsm,ENSMUSG00000074871
4027,Olfr410,ENSMUSG00000063116
4028,Svs3b,ENSMUSG00000050383
4029,Gldnos,ENSMUSG00000074343
4030,Vmn1r132,ENSMUSG00000074322
4031,Vmn1r168,ENSMUSG00000074291
4032,Gm6351,ENSMUSG00000072821
4033,4930432M17Rik,ENSMUSG00000074248
4034,Olfr790,ENSMUSG00000108061
4035,Gm20362,ENSMUSG00000108072
4036,Serpina1e,ENSMUSG00000072849
4037,Olfr1355,ENSMUSG00000062873
4038,Olfr769,ENSMUSG00000042801
4039,Gm14548,ENSMUSG00000074417
4040,C87499,ENSMUSG00000038330
4041,Gm10720,ENSMUSG00000074564
4042,Gm44077,ENSMUSG00000108244
4043,Gm10770,ENSMUSG00000074837
4044,Cst10,ENSMUSG00000033156
4045,Zfp640,ENSMUSG00000074830
4046,Gm15080,ENSMUSG00000072931
4047,Ubtfl1,ENSMUSG00000074502
4048,Gm10696,ENSMUSG00000074424
4049,Spata31d1c,ENSMUSG00000074849
4050,1700003H04Rik,ENSMUSG00000039174
4051,RP24-113D21.1,ENSMUSG00000108675
4052,Serpinb6d,ENSMUSG00000047889
4053,Olfr1386,ENSMUSG00000108167
4054,Defa3,ENSMUSG00000074440
4055,Olfr170,ENSMUSG00000108369
4056,Olfr789,ENSMUSG00000108133
4057,Olfr777,ENSMUSG00000062914
4058,Gm2016,ENSMUSG00000072905
4059,Olfr800,ENSMUSG00000108114
4060,Gm1527,ENSMUSG00000074655
4061,Defb26,ENSMUSG00000074680
4062,Olfr607,ENSMUSG00000042402
4063,Olfr666,ENSMUSG00000063582
4064,Spint3,ENSMUSG00000074596
4065,Samt2,ENSMUSG00000072888
4066,Olfr770,ENSMUSG00000047868
4067,Olfr1337,ENSMUSG00000061075
4068,Gm44079,ENSMUSG00000108141
4069,Gm12845,ENSMUSG00000108127
4070,AC140325.1,ENSMUSG00000074720
4071,Gm10435,ENSMUSG00000072902
4072,Gm44019,ENSMUSG00000108130
4073,Gm43893,ENSMUSG00000108087
4074,RP24-138O17.3,ENSMUSG00000108545
4075,Gm10542,ENSMUSG00000073572
4076,Fam24a,ENSMUSG00000030859
4077,Ube2dnl1,ENSMUSG00000050435
4078,Dsg4,ENSMUSG00000001804
4079,Olfr522,ENSMUSG00000051180
4080,Olfr1323,ENSMUSG00000050504
4081,RP23-292B24.1,ENSMUSG00000108593
4082,Mup7,ENSMUSG00000073842
4083,Stfa1,ENSMUSG00000071562
4084,Mup11,ENSMUSG00000073834
4085,Ifna12,ENSMUSG00000073811
4086,RP23-402A4.2,ENSMUSG00000108469
4087,Gm13102,ENSMUSG00000073723
4088,Esp1,ENSMUSG00000073396
4089,Gm13125,ENSMUSG00000073721
4090,Olfr703,ENSMUSG00000073901
4091,Lrrc30,ENSMUSG00000073375
4092,Gm10553,ENSMUSG00000073631
4093,Tas2r114,ENSMUSG00000063478
4094,Olfr293,ENSMUSG00000063394
4095,RP23-144N15.7,ENSMUSG00000108531
4096,Olfr807,ENSMUSG00000050478
4097,Olfr1333,ENSMUSG00000073770
4098,4933406M09Rik,ENSMUSG00000050526
4099,Fpr-rs4,ENSMUSG00000048062
4100,Gm829,ENSMUSG00000073860
4101,Gm10486,ENSMUSG00000073247
4102,Gm10491,ENSMUSG00000073291
4103,Gm10477,ENSMUSG00000073173
4104,Gm1993,ENSMUSG00000073267
4105,Gm10488,ENSMUSG00000073257
4106,Nova2,ENSMUSG00000108585
4107,Gm14632,ENSMUSG00000073255
4108,4930567H17Rik,ENSMUSG00000073141
4109,RP23-421O10.11,ENSMUSG00000108579
4110,Olfr1387,ENSMUSG00000063386
4111,Olfr1360,ENSMUSG00000108534
4112,4921524L21Rik,ENSMUSG00000039540
4113,Cyp8b1,ENSMUSG00000050445
4114,Klrc3,ENSMUSG00000033027
4115,Magea4,ENSMUSG00000033343
4116,Olfr65,ENSMUSG00000101488
4117,Gm28632,ENSMUSG00000101491
4118,Gm29089,ENSMUSG00000101492
4119,Gm11116,ENSMUSG00000079439
4120,Rhox3h,ENSMUSG00000071769
4121,Gm3286,ENSMUSG00000079423
4122,Gm3259,ENSMUSG00000079424
4123,Vmn1r26,ENSMUSG00000048697
4124,4930513O06Rik,ENSMUSG00000031270
4125,Gm11114,ENSMUSG00000079433
4126,Gm11115,ENSMUSG00000079438
4127,Vmn1r66,ENSMUSG00000043066
4128,Gm2863,ENSMUSG00000101500
4129,Tmprss11g,ENSMUSG00000079451
4130,Olfr1320,ENSMUSG00000071764
4131,Gm42575,ENSMUSG00000106987
4132,Gm15023,ENSMUSG00000079432
4133,Skint10,ENSMUSG00000048766
4134,Gm26769,ENSMUSG00000097256
4135,A630091E08Rik,ENSMUSG00000055446
4136,Gm12081,ENSMUSG00000084905
4137,Gm10323,ENSMUSG00000071295
4138,Gm29190,ENSMUSG00000101465
4139,Gm29173,ENSMUSG00000101485
4140,Bpifb9a,ENSMUSG00000067998
4141,Akp3,ENSMUSG00000036500
4142,Gm28798,ENSMUSG00000101484
4143,Scgb2b2,ENSMUSG00000036521
4144,Olfr1220,ENSMUSG00000101480
4145,Gm26654,ENSMUSG00000097299
4146,1700034B16Rik,ENSMUSG00000097302
4147,Gm26567,ENSMUSG00000097314
4148,Defb15,ENSMUSG00000048500
4149,Gm29656,ENSMUSG00000101474
4150,Gm28517,ENSMUSG00000101472
4151,Mup4,ENSMUSG00000041333
4152,Bpifb9b,ENSMUSG00000067996
4153,Srp54a,ENSMUSG00000073079
4154,Olfr731,ENSMUSG00000048080
4155,RP23-472J11.9,ENSMUSG00000108490
4156,Gm5570,ENSMUSG00000073045
4157,Olfr678,ENSMUSG00000073913
4158,CT025529.1,ENSMUSG00000108458
4159,Olfr688,ENSMUSG00000073909
4160,Olfr687,ENSMUSG00000073908
4161,Olfr689,ENSMUSG00000073907
4162,Olfr654,ENSMUSG00000073925
4163,Olfr677,ENSMUSG00000073914
4164,Olfr535,ENSMUSG00000063230
4165,Gm7682,ENSMUSG00000074011
4166,Cypt4,ENSMUSG00000047995
4167,Olfr1351,ENSMUSG00000063216
4168,RP23-472J11.11,ENSMUSG00000108395
4169,RP23-196J23.1,ENSMUSG00000109566
4170,1700026J12Rik,ENSMUSG00000073976
4171,Cnbd1,ENSMUSG00000073991
4172,RP23-143J24.4,ENSMUSG00000108449
4173,Ssxa1,ENSMUSG00000062814
4174,Olfr652,ENSMUSG00000073927
4175,Olfr665,ENSMUSG00000073917
4176,Olfr446,ENSMUSG00000073111
4177,Sh2d1b2,ENSMUSG00000073494
4178,RP23-370I17.4,ENSMUSG00000108419
4179,Olfr704,ENSMUSG00000073900
4180,Olfr133,ENSMUSG00000063240
4181,RP23-53O7.1,ENSMUSG00000108385
4182,Olfr572,ENSMUSG00000073963
4183,Olfr730,ENSMUSG00000050431
4184,Olfr555,ENSMUSG00000073970
4185,Olfr730,ENSMUSG00000108386
4186,Fbxw16,ENSMUSG00000074062
4187,Gm15315,ENSMUSG00000063206
4188,Olfr676,ENSMUSG00000073915
4189,Olfr657,ENSMUSG00000073923
4190,Olfr659,ENSMUSG00000073922
4191,Olfr661,ENSMUSG00000073920
4192,Olfr556,ENSMUSG00000073969
4193,Gm7982,ENSMUSG00000072814
4194,Olfr1032,ENSMUSG00000042796
4195,Olfr547,ENSMUSG00000073979
4196,Olfr713,ENSMUSG00000073898
4197,Olfr17,ENSMUSG00000073897
4198,Gm4744,ENSMUSG00000063252
4199,Olfr472,ENSMUSG00000073893
4200,Olfr763,ENSMUSG00000063374
4201,Mageb2,ENSMUSG00000073069
4202,Olfr1353,ENSMUSG00000042774
4203,Krtap4-1,ENSMUSG00000063251
4204,Olfr1330,ENSMUSG00000073768
4205,Olfr1450,ENSMUSG00000062892
4206,Gm732,ENSMUSG00000073006
4207,Olfr672,ENSMUSG00000051172
4208,Mrgpra9,ENSMUSG00000074111
4209,Mrgprx2,ENSMUSG00000074109
4210,Gm12711,ENSMUSG00000085090
4211,RP24-255H18.1,ENSMUSG00000108505
4212,Olfr642,ENSMUSG00000049797
4213,Olfr669,ENSMUSG00000073916
4214,Gm5600,ENSMUSG00000073862
4215,Gm10128,ENSMUSG00000063277
4216,Olfr548-ps1,ENSMUSG00000073978
4217,Olfr549,ENSMUSG00000073977
4218,Olfr465-ps1,ENSMUSG00000108426
4219,Olfr596,ENSMUSG00000073953
4220,Olfr692,ENSMUSG00000073906
4221,Olfr444,ENSMUSG00000073110
4222,Gm10466,ENSMUSG00000073103
4223,4931408C20Rik,ENSMUSG00000073722
4224,Olfr298,ENSMUSG00000062878
4225,4933427I04Rik,ENSMUSG00000073761
4226,Olfr945,ENSMUSG00000063380
4227,Gm21974,ENSMUSG00000030804
4228,Gm7534,ENSMUSG00000073747
4229,Cldn34b4,ENSMUSG00000073085
4230,Pramel4,ENSMUSG00000073724
4231,Gm10577,ENSMUSG00000073789
4232,Gm10552,ENSMUSG00000073628
4233,Olfr448,ENSMUSG00000043119
4234,Olfr527,ENSMUSG00000062782
4235,Gm44042,ENSMUSG00000107960
4236,H2bfm,ENSMUSG00000048155
4237,Apoc2,ENSMUSG00000002992
4238,Olfr992,ENSMUSG00000075221
4239,Olfr1317,ENSMUSG00000050776
4240,Olfr618,ENSMUSG00000073945
4241,Olfr633,ENSMUSG00000073937
4242,Olfr646,ENSMUSG00000073931
4243,4930504D19Rik,ENSMUSG00000107926
4244,Gm42604,ENSMUSG00000106526
4245,Olfr304,ENSMUSG00000062426
4246,Olfr641,ENSMUSG00000073932
4247,Olfr987,ENSMUSG00000075223
4248,Cyp3a25,ENSMUSG00000029630
4249,Ugt3a1,ENSMUSG00000072664
4250,Olfr1309,ENSMUSG00000074951
4251,Olfr303,ENSMUSG00000039608
4252,Olfr995,ENSMUSG00000075218
4253,Olfr49,ENSMUSG00000048153
4254,Dmrtc1b,ENSMUSG00000073027
4255,Olfr914,ENSMUSG00000047050
4256,Olfr126,ENSMUSG00000108817
4257,Gm44293,ENSMUSG00000107666
4258,Gm42880,ENSMUSG00000106280
4259,Duxbl2,ENSMUSG00000072675
4260,Gm14553,ENSMUSG00000085000
4261,Olfr853,ENSMUSG00000051160
4262,Olfr632,ENSMUSG00000073938
4263,Olfr651,ENSMUSG00000073928
4264,Olfr994,ENSMUSG00000075219
4265,Olfr516,ENSMUSG00000062434
4266,Gm1968,ENSMUSG00000075286
4267,Olfr617,ENSMUSG00000073946
4268,Krtap6-2,ENSMUSG00000062433
4269,Olfr608,ENSMUSG00000073948
4270,Olfr606,ENSMUSG00000073949
4271,Olfr993,ENSMUSG00000075220
4272,Olfr988,ENSMUSG00000075222
4273,Olfr625-ps1,ENSMUSG00000073943
4274,Olfr1308,ENSMUSG00000074952
4275,RP24-124B23.17,ENSMUSG00000107588
4276,Olfr1000,ENSMUSG00000075215
4277,Olfr362,ENSMUSG00000075377
4278,RP23-281H4.10,ENSMUSG00000107539
4279,Olfr351,ENSMUSG00000075383
4280,Olfr353,ENSMUSG00000075382
4281,Olfr355,ENSMUSG00000075380
4282,Olfr341,ENSMUSG00000075387
4283,Olfr358,ENSMUSG00000075379
4284,4930588K23Rik,ENSMUSG00000075335
4285,Gm44176,ENSMUSG00000107579
4286,Olfr1388,ENSMUSG00000047702
4287,Olfr1284,ENSMUSG00000050781
4288,C1s2,ENSMUSG00000107554
4289,Olfr1389,ENSMUSG00000107573
4290,Cyp2c29,ENSMUSG00000003053
4291,Olfr361,ENSMUSG00000075378
4292,Gm43613,ENSMUSG00000106162
4293,E330016L19Rik,ENSMUSG00000085060
4294,1700001N15Rik,ENSMUSG00000106210
4295,Olfr619,ENSMUSG00000073944
4296,Pdx1,ENSMUSG00000029644
4297,Cyp26c1,ENSMUSG00000062432
4298,Gm35216,ENSMUSG00000107598
4299,Gm10398,ENSMUSG00000072686
4300,Olfr1382,ENSMUSG00000063827
4301,Vmn1r222,ENSMUSG00000061022
4302,Gm11614,ENSMUSG00000085145
4303,Saxo1os,ENSMUSG00000085108
4304,Olfr1044,ENSMUSG00000075200
4305,Spam1,ENSMUSG00000029682
4306,Rubie,ENSMUSG00000085123
4307,1700069P05Rik,ENSMUSG00000107637
4308,Olfr507,ENSMUSG00000061000
4309,Nlrp4b,ENSMUSG00000034087
4310,Gm12702,ENSMUSG00000085142
4311,Olfr772,ENSMUSG00000107662
4312,Gm1322,ENSMUSG00000075314
4313,Olfr52,ENSMUSG00000075199
4314,Gm43735,ENSMUSG00000106143
4315,Gm14974,ENSMUSG00000085325
4316,Olfr599,ENSMUSG00000073950
4317,Gm13943,ENSMUSG00000085277
4318,Vmn1r52,ENSMUSG00000060816
4319,Olfr1048,ENSMUSG00000075195
4320,Ofcc1,ENSMUSG00000047094
4321,Olfr1049,ENSMUSG00000075194
4322,Gm43349,ENSMUSG00000106249
4323,Olfr1491,ENSMUSG00000051156
4324,Gm12984,ENSMUSG00000085002
4325,Olfr1045,ENSMUSG00000075198
4326,5430427M07Rik,ENSMUSG00000085004
4327,Gm12977,ENSMUSG00000085009
4328,Gm13412,ENSMUSG00000085017
4329,Gm14809,ENSMUSG00000085053
4330,Hyal6,ENSMUSG00000029679
4331,Gm11548,ENSMUSG00000085320
4332,Gm42493,ENSMUSG00000106134
4333,Gm12763,ENSMUSG00000085312
4334,Tbx2,ENSMUSG00000000093
4335,Ccbe1,ENSMUSG00000046318
4336,Galr1,ENSMUSG00000024553
4337,Slc25a48,ENSMUSG00000021509
4338,Zfp618,ENSMUSG00000028358
4339,mt-Atp8,ENSMUSG00000064356
4340,Cd27,ENSMUSG00000030336
4341,RP24-117C3.2,ENSMUSG00000108793
4342,Syt15,ENSMUSG00000041479
4343,Fam177a,ENSMUSG00000095595
4344,Dlx3,ENSMUSG00000001510
4345,Atoh8,ENSMUSG00000037621
4346,4933408A14Rik,ENSMUSG00000106136
4347,Olfr1420,ENSMUSG00000060878
4348,Gm12410,ENSMUSG00000085305
4349,Gm43495,ENSMUSG00000106155
4350,Inafm1,ENSMUSG00000091811
4351,Olfr1046,ENSMUSG00000075197
4352,Olfr1047,ENSMUSG00000075196
4353,Vmn1r229,ENSMUSG00000061150
4354,Gm15346,ENSMUSG00000085199
4355,Gm12637,ENSMUSG00000085209
4356,Olfr51,ENSMUSG00000060918
4357,Olfr263,ENSMUSG00000071522
4358,RP23-465D7.3,ENSMUSG00000108822
4359,Olfr432,ENSMUSG00000047048
4360,Gm12847,ENSMUSG00000085249
4361,Ube2dnl2,ENSMUSG00000047079
4362,Gm42704,ENSMUSG00000106109
4363,Olfr1151,ENSMUSG00000047039
4364,Hyal4,ENSMUSG00000029680
4365,Olfr64,ENSMUSG00000063615
4366,1700092C17Rik,ENSMUSG00000085353
4367,Olfr630,ENSMUSG00000050281
4368,2010110G14Rik,ENSMUSG00000106095
4369,Gm42610,ENSMUSG00000106122
4370,Gm14437,ENSMUSG00000085358
4371,Gm43641,ENSMUSG00000106148
4372,Olfr1054,ENSMUSG00000075190
4373,Ovch2,ENSMUSG00000048236
4374,Gm11467,ENSMUSG00000085046
4375,Gm13026,ENSMUSG00000085047
4376,Tas2r139,ENSMUSG00000047102
4377,Olfr160,ENSMUSG00000061165
4378,Olfr1289,ENSMUSG00000061195
4379,Olfr771,ENSMUSG00000061367
4380,4930515L19Rik,ENSMUSG00000085157
4381,Olfr530,ENSMUSG00000060974
4382,Gm13417,ENSMUSG00000085330
4383,Olfr1051,ENSMUSG00000075193
4384,Gm13860,ENSMUSG00000085187
4385,BC025446,ENSMUSG00000047728
4386,Olfr172,ENSMUSG00000071510
4387,Olfr1053,ENSMUSG00000075192
4388,RP23-325D10.3,ENSMUSG00000108815
4389,Olfr655,ENSMUSG00000051182
4390,Gm4128,ENSMUSG00000085352
4391,Olfr168,ENSMUSG00000061361
4392,Olfr154,ENSMUSG00000075212
4393,Apol7e,ENSMUSG00000071716
4394,Olfr986,ENSMUSG00000051095
4395,RP23-310N5.3,ENSMUSG00000108773
4396,Tex13a,ENSMUSG00000071686
4397,Olfr116,ENSMUSG00000061336
4398,4930558F17Rik,ENSMUSG00000106506
4399,Olfr906,ENSMUSG00000039962
4400,Gm13954,ENSMUSG00000084870
4401,Olfr684,ENSMUSG00000047225
4402,Olfr1495,ENSMUSG00000047207
4403,Gm14684,ENSMUSG00000084944
4404,AA672651,ENSMUSG00000084895
4405,9430007A20Rik,ENSMUSG00000028593
4406,Pramef12os,ENSMUSG00000028590
4407,Olfr1212,ENSMUSG00000048226
4408,Gm13834,ENSMUSG00000084894
4409,Gm11528,ENSMUSG00000084856
4410,Gm42706,ENSMUSG00000106524
4411,Gm14640,ENSMUSG00000084818
4412,Krtap1-5,ENSMUSG00000047253
4413,Olfr1469,ENSMUSG00000063777
4414,Gm17728,ENSMUSG00000072968
4415,Gm12436,ENSMUSG00000084787
4416,Mageb5,ENSMUSG00000061392
4417,2010309G21Rik,ENSMUSG00000106567
4418,Gm13667,ENSMUSG00000084791
4419,Csn1s2b,ENSMUSG00000061388
4420,Olfr77,ENSMUSG00000051118
4421,Olfr1490,ENSMUSG00000061387
4422,Cyp4a30b,ENSMUSG00000084346
4423,Sycn,ENSMUSG00000084174
4424,Gm42746,ENSMUSG00000106538
4425,Gm11791,ENSMUSG00000084853
4426,1700092E19Rik,ENSMUSG00000084811
4427,Olfr1168,ENSMUSG00000061342
4428,Vmn1r173,ENSMUSG00000074289
4429,Gm11213,ENSMUSG00000084782
4430,4930591A17Rik,ENSMUSG00000039138
4431,Gm13962,ENSMUSG00000084933
4432,Gm42823,ENSMUSG00000106413
4433,Tas2r105,ENSMUSG00000051153
4434,Gm42601,ENSMUSG00000106319
4435,Gm16224,ENSMUSG00000084986
4436,Vmn1r8,ENSMUSG00000061208
4437,Olfr917,ENSMUSG00000063225
4438,Mup14,ENSMUSG00000073830
4439,Olfr615,ENSMUSG00000073947
4440,Izumo3,ENSMUSG00000028533
4441,RP24-269A16.8,ENSMUSG00000108364
4442,Cd40lg,ENSMUSG00000031132
4443,Olfr1312,ENSMUSG00000074947
4444,Olfr1313,ENSMUSG00000074946
4445,Olfr1026,ENSMUSG00000042863
4446,Olfr1314,ENSMUSG00000074945
4447,Olfr1316,ENSMUSG00000074943
4448,Prl3d2,ENSMUSG00000062737
4449,Olfr531,ENSMUSG00000062712
4450,Vmn1r219,ENSMUSG00000061376
4451,Gm15962,ENSMUSG00000084981
4452,4930428O21Rik,ENSMUSG00000106333
4453,Gm43053,ENSMUSG00000106437
4454,Gm10685,ENSMUSG00000106429
4455,Gm281,ENSMUSG00000084902
4456,Vmn1r54,ENSMUSG00000047203
4457,Olfr532,ENSMUSG00000063823
4458,Olfr1052,ENSMUSG00000047149
4459,Olfr1477,ENSMUSG00000071629
4460,4930579D09Rik,ENSMUSG00000084971
4461,Olfr722,ENSMUSG00000048933
4462,Gm10339,ENSMUSG00000071591
4463,Vmn1r210,ENSMUSG00000061296
4464,Gm43562,ENSMUSG00000106393
4465,Olfr1261,ENSMUSG00000061295
4466,Gm16351,ENSMUSG00000084954
4467,Cyp3a59,ENSMUSG00000061292
4468,Gm15935,ENSMUSG00000084940
4469,Olfr342,ENSMUSG00000061305
4470,Gm12159,ENSMUSG00000084773
4471,Olfr871,ENSMUSG00000061457
4472,Gm13605,ENSMUSG00000084768
4473,9430093N23Rik,ENSMUSG00000085369
4474,E330012B07Rik,ENSMUSG00000085600
4475,Cyp2c70,ENSMUSG00000060613
4476,Gm15792,ENSMUSG00000085606
4477,Gm13850,ENSMUSG00000085616
4478,Gm11466,ENSMUSG00000085618
4479,Gpr31b,ENSMUSG00000071311
4480,Olfr281,ENSMUSG00000032987
4481,4930555B12Rik,ENSMUSG00000085619
4482,Zfp735,ENSMUSG00000060630
4483,Gm11795,ENSMUSG00000085630
4484,Gm15290,ENSMUSG00000085634
